file_name,detected_text,confidence,center_coordinates,azimuth,longitude,latitude
GS__1430,تاپ سپستم,0.690097221927202,"(3729, 1192)",155.61,59.51335819444444,36.338064111111116
GS__1431,عوچر,0.159355342388153,"(827, 1392)",254.43,59.51355319444444,36.338033
GS__1431, چلال,0.4630646454271901,"(1023, 1397)",272.07,59.51355319444444,36.338033
GS__1431,7,0.0975635309163545,"(1649, 2499)",328.41,59.51355319444444,36.338033
GS__1431,57,0.1409387582721599,"(4310, 1237)",207.9,59.51355319444444,36.338033
GS__1431,I,0.6170683853929972,"(4462, 1278)",221.58,59.51355319444444,36.338033
GS__1431,'67|,0.1396790593862533,"(1106, 1378)",279.54,59.51355319444444,36.338033
GS__1431,،٨٨٩٨,0.0988712926298914,"(836, 1448)",255.24,59.51355319444444,36.338033
GS__1431,=,0.2444295276262673,"(2545, 2383)",49.05,59.51355319444444,36.338033
GS__1432,,0.0,"(2542, 2378)",48.78,59.51366180555556,36.33801480555556
GS__1432,٧؛٧ `,0.5353219001530544,"(573, 1601)",231.57,59.51366180555556,36.33801480555556
GS__1432,/,0.1403966356341266,"(3698, 2236)",152.82,59.51366180555556,36.33801480555556
GS__1433,,0.0,"(2508, 2369)",45.72,59.51372438888889,36.33802169444445
GS__1433,,0.0,"(1644, 2479)",327.96,59.51372438888889,36.33802169444445
GS__1433,قدفلفم,0.0090392669937206,"(4682, 2149)",241.38,59.51372438888889,36.33802169444445
GS__1434,,0.0,"(3577, 2247)",141.93,59.513826305555554,36.33800661111111
GS__1434,٩١٥١٢,0.872328248274027,"(5475, 1933)",312.75,59.513826305555554,36.33800661111111
GS__1434,=,0.1188267869491852,"(2474, 2353)",42.66,59.513826305555554,36.33800661111111
GS__1435,ثل٢٧٥٥یع٥,0.0330015180816765,"(4562, 1806)",230.58,59.513934194444445,36.33799011111111
GS__1435,»,0.0253868024719929,"(1647, 2465)",328.23,59.513934194444445,36.33799011111111
GS__1436,,0.0,"(2513, 2362)",46.17,59.51402838888889,36.33797311111111
GS__1437,٧آب٢٤٢,0.5295299721465839,"(4990, 1804)",269.1,59.5141245,36.33794888888889
GS__1437,,0.0,"(1626, 2461)",326.34000000000003,59.5141245,36.33794888888889
GS__1437,,0.0,"(2487, 2363)",43.83,59.5141245,36.33794888888889
GS__1438,١٨٨٨ ١,0.1076595314306079,"(3417, 1332)",127.53,59.51423211111111,36.337929
GS__1438,;2,0.0373471019774396,"(1624, 2438)",326.16,59.51423211111111,36.337929
GS__1438,7,0.238807069638768,"(3653, 2254)",148.77,59.51423211111111,36.337929
GS__1440,امام,0.3963719015398431,"(4675, 1403)",240.75,59.5144365,36.33787788888889
GS__1440,Pقلآ,0.0108409970998764,"(5537, 1734)",318.33,59.5144365,36.33787788888889
GS__1440,پردبنانی ر ٣ِ -,0.1728366594531585,"(4765, 1538)",248.85,59.5144365,36.33787788888889
GS__1440,ژاسام زُسان ',0.4606076474848129,"(4753, 1560)",247.77,59.5144365,36.33787788888889
GS__1440,فا,0.0420227554856285,"(4816, 1720)",253.44,59.5144365,36.33787788888889
GS__1440,,0.0,"(2451, 2368)",40.59,59.5144365,36.33787788888889
GS__1441,<,0.2492856724892966,"(2956, 2216)",86.03999999999999,59.5145245,36.33786088888889
GS__1442,,0.0,"(2459, 2367)",41.31,59.51461069444444,36.33784719444445
GS__1442,,0.0,"(1631, 2459)",326.79,59.51461069444444,36.33784719444445
GS__1443,-[.؟١-1,0.0318094019010855,"(3424, 1080)",128.16,59.5147065,36.33783230555556
GS__1443,اار زئلی ز٨,0.0173474604512235,"(3478, 1075)",133.02,59.5147065,36.33783230555556
GS__1443,ازا حظظ راو8 کی رای نبد,0.0117904693667409,"(3469, 1042)",132.21,59.5147065,36.33783230555556
GS__1443,اخان خراحان ر,0.1744728980414497,"(3473, 1104)",132.57000000000002,59.5147065,36.33783230555556
GS__1444,٥؛٨,0.1359205125646216,"(5467, 1538)",312.03000000000003,59.51480380555556,36.33780838888889
GS__1446,تffffة٥آ5,0.0222070607130454,"(3404, 1561)",126.36,59.515043694444444,36.33774738888889
GS__1446,f,0.5794845310270489,"(4186, 1572)",196.74,59.515043694444444,36.33774738888889
GS__1447,5,0.0641612127080302,"(1624, 2447)",326.16,59.51515561111111,36.337731805555556
GS__1447,200(4,0.0234532130061577,"(3610, 1328)",144.9,59.51515561111111,36.337731805555556
GS__1447,/,0.2426073085770221,"(3577, 2241)",141.93,59.51515561111111,36.337731805555556
GS__1447,=,0.1630666996495131,"(2465, 2361)",41.85,59.51515561111111,36.337731805555556
GS__1448,چ,0.3765697169137105,"(4029, 373)",182.61,59.51529411111111,36.337703000000005
GS__1448,,0.0,"(2513, 2371)",46.17,59.51529411111111,36.337703000000005
GS__1448,٥ac٤,0.0251559000462293,"(4925, 1514)",263.25,59.51529411111111,36.337703000000005
GS__1449,7,0.3827029195192075,"(1635, 2454)",327.15,59.5154025,36.33768480555556
GS__1449,,0.0,"(2551, 2348)",49.59,59.5154025,36.33768480555556
GS__1450,,0.0,"(1624, 2474)",326.16,59.51551188888889,36.337665694444446
GS__1451,[EMfT,0.0407219323268095,"(3653, 1585)",148.77,59.51569611111111,36.337632500000005
GS__1451,7,0.7268395205983893,"(1644, 2463)",327.96,59.51569611111111,36.337632500000005
GS__1451,0303?9,0.0168723690441423,"(4752, 1411)",247.68,59.51569611111111,36.337632500000005
GS__1451,لاتا .,0.0483689292760038,"(4709, 1428)",243.81,59.51569611111111,36.337632500000005
GS__1451,٧٢ ٥٧٦٨ ٦٧,0.3027025260457449,"(4912, 1841)",262.08,59.51569611111111,36.337632500000005
GS__1452,",2",0.0139616619152527,"(1626, 2447)",326.34000000000003,59.51580769444445,36.33762061111111
GS__1452,,0.0,"(3663, 2257)",149.67000000000002,59.51580769444445,36.33762061111111
GS__1453,,0.0,"(2501, 2367)",45.09,59.515929,36.33760161111111
GS__1453,7,0.7589506423782986,"(1637, 2463)",327.33,59.515929,36.33760161111111
GS__1454,7,0.2774196919909286,"(1635, 2465)",327.15,59.51607338888889,36.337573694444444
GS__1454,7,0.0803351891659645,"(2497, 2373)",44.73,59.51607338888889,36.337573694444444
GS__1455,,0.0,"(1620, 2470)",325.8,59.516192805555555,36.33755088888889
GS__1455,,0.0,"(2532, 2356)",47.88,59.516192805555555,36.33755088888889
GS__1456,7,0.4193459966760571,"(1646, 2477)",328.14,59.51635061111111,36.337518
GS__1457,7,0.743891978928346,"(1642, 2486)",327.78,59.516492694444445,36.337489805555556
GS__1458,٣٢,0.0997732177356694,"(4477, 1363)",222.93,59.5165885,36.33746419444444
GS__1458,غ :,0.0993347344449451,"(4531, 1376)",227.79,59.5165885,36.33746419444444
GS__1462,7,0.4625505547028865,"(1642, 2495)",327.78,59.5170875,36.337392388888894
GS__1462,,0.0,"(2516, 2385)",46.44,59.5170875,36.337392388888894
GS__1463,7,0.1602387030458993,"(1644, 2475)",327.96,59.517209799999996,36.337372388888895
GS__1463,7,0.3847723795115634,"(3660, 2225)",149.4,59.517209799999996,36.337372388888895
GS__1463,=,0.1721242583772095,"(2515, 2372)",46.35,59.517209799999996,36.337372388888895
GS__1464,",",0.0382109463915805,"(1671, 2535)",330.39,59.517461499999996,36.33734319444444
GS__1464,م ٤٩=,0.4072609530255853,"(3153, 1580)",103.77,59.517461499999996,36.33734319444444
GS__1464,ش٥٣ل٩,0.0421366305501576,"(3238, 1600)",111.42,59.517461499999996,36.33734319444444
GS__1464,rfف,0.0013970091272123,"(75, 2000)",186.75,59.517461499999996,36.33734319444444
GS__1464,,0.0,"(2601, 2397)",54.09,59.517461499999996,36.33734319444444
GS__1465,7,0.0552775598235735,"(1653, 2497)",328.77,59.5175319,36.33733738888889
GS__1465,/,0.5554840768327409,"(3645, 2211)",148.05,59.5175319,36.33733738888889
GS__1465,,0.0,"(2523, 2390)",47.07,59.5175319,36.33733738888889
GS__1466,",",0.0773200757069156,"(1642, 2470)",327.78,59.5176727,36.33731319444445
GS__1466,/,0.6722659774813025,"(3666, 2231)",149.94,59.5176727,36.33731319444445
GS__1466,,0.0,"(2524, 2371)",47.16,59.5176727,36.33731319444445
GS__1467,,0.0,"(2522, 2384)",46.98,59.5177695,36.337288694444446
GS__1467,/,0.5354292060446006,"(3638, 2221)",147.42,59.5177695,36.337288694444446
GS__1468,",",0.4936502809932932,"(1626, 2468)",326.34000000000003,59.5178644,36.33726330555556
GS__1469,ILU=,0.0207917410880327,"(5177, 1671)",285.93,59.5179752,36.33723988888889
GS__1469,7,0.0880848370443665,"(1640, 2472)",327.6,59.5179752,36.33723988888889
GS__1469,=,0.0310561877920543,"(2489, 2373)",44.01,59.5179752,36.33723988888889
GS__1470,7,0.1358170446223718,"(1620, 2454)",325.8,59.5180854,36.33721519444445
GS__1474,9,0.1709142167953894,"(3656, 1408)",149.04,59.518529,36.3371395
GS__1477,٨ 7,0.0383515367277064,"(2942, 2225)",84.78,59.5188893,36.33707119444445
GS__1479,,0.0,"(1617, 2411)",325.53,59.519123199999996,36.337031305555556
GS__1479,لفتته,0.0186759489789041,"(2967, 1384)",87.03,59.519123199999996,36.337031305555556
GS__1479,TOYOTA,0.8889076838898753,"(784, 1653)",250.56,59.519123199999996,36.337031305555556
GS__1484,٠٩١٥٦٢١٥٩٥٢ ,0.934461271160606,"(3914, 1446)",172.26,59.51975711111111,36.3369215
GS__1485,ب٤,0.4030607453112056,"(4325, 1636)",209.25000000000003,59.51987,36.33690030555556
GS__1486,,0.0,"(2444, 2371)",39.96,59.51996738888889,36.336882
GS__1488,,0.0,"(1631, 2479)",326.79,59.52013930555555,36.3369355
GS__1489,;,0.0549958507864767,"(1640, 2472)",327.6,59.52016911111111,36.33701061111111
GS__1490,;,0.354088873501496,"(1615, 2436)",325.35,59.52020511111111,36.33712811111111
GS__1491,;٤,0.0341789543023088,"(1629, 2452)",326.61,59.520230805555556,36.337216805555556
GS__1492,;,0.1490987053933032,"(1637, 2454)",327.33,59.52025388888889,36.33729588888889
GS__1493,8EE٩ع,0.0669275320982134,"(4407, 1039)",216.63,59.520277694444445,36.33738080555556
GS__1493,;,0.0449603074138771,"(1644, 2481)",327.96,59.520277694444445,36.33738080555556
GS__1494,,0.0,"(1628, 2452)",326.52,59.520303999999996,36.33747638888889
GS__1494,ششلو,0.007429186720401,"(4634, 1063)",237.06,59.520303999999996,36.33747638888889
GS__1495,[fشذف,0.0386949416977214,"(566, 1822)",230.94,59.52033080555555,36.337567500000006
GS__1495,;٤,0.0313051721084548,"(1642, 2483)",327.78,59.52033080555555,36.337567500000006
GS__1496,,0.0,"(1426, 1496)",308.34000000000003,59.520361305555554,36.33766338888889
GS__1496,;,0.114662217437317,"(1633, 2468)",326.97,59.520361305555554,36.33766338888889
GS__1497,٧,0.1097250106240546,"(4155, 1383)",193.95,59.52038361111111,36.33777011111111
GS__1497,٤,0.6967310358737109,"(1422, 1430)",307.98,59.52038361111111,36.33777011111111
GS__1497,ف4,0.1791247061735116,"(4144, 1417)",192.96,59.52038361111111,36.33777011111111
GS__1497,للنا,0.3740909811941827,"(1575, 1473)",321.75,59.52038361111111,36.33777011111111
GS__1497,;,0.1825600308182808,"(1646, 2483)",328.14,59.52038361111111,36.33777011111111
GS__1497, بدن مامسی دد,0.339217050955564,"(1491, 1481)",314.19,59.52038361111111,36.33777011111111
GS__1498,٥fش٨٩پ,0.0124661219924813,"(41, 1815)",183.69,59.52040380555555,36.3378685
GS__1498,",٤",0.0189919936875241,"(1642, 2466)",327.78,59.52040380555555,36.3378685
GS__1501,میپوماکث,0.0596518623166078,"(3600, 1252)",144.0,59.520470805555554,36.33811580555556
GS__1501,٢٤٥5,0.246916189789772,"(3489, 1291)",134.01000000000002,59.520470805555554,36.33811580555556
GS__1501,;,0.074296492090653,"(1635, 2468)",327.15,59.520470805555554,36.33811580555556
GS__1502,9eosi,0.5648692571628985,"(3921, 1291)",172.89,59.52049519444444,36.33819311111111
GS__1503,pepsi,0.9418881255155012,"(4735, 1406)",246.15,59.520519888888884,36.338277805555556
GS__1504,;,0.1030540937258175,"(1647, 2468)",328.23,59.52055080555555,36.33836030555556
GS__1505,لآهعللآ,0.0077576946671768,"(4948, 1805)",265.32,59.52058,36.3384695
GS__1506,",2",0.0444181983701424,"(1655, 2489)",328.95,59.52060438888889,36.338545805555555
GS__1508,ر,0.0503846890300687,"(1651, 2493)",328.59000000000003,59.52065161111111,36.33873311111111
GS__1511,ف,0.1440874630159818,"(5660, 1730)",329.40000000000003,59.52073838888889,36.33904830555556
GS__1512,TJ٥lff,0.0083114567588169,"(131, 1816)",191.79,59.520764388888885,36.33914738888889
GS__1513,;,0.2971857084160092,"(1604, 2427)",324.36,59.520785805555555,36.33922619444445
GS__1514,تگلخاءا,0.0578872011360311,"(3109, 1488)",99.81,59.52075280555555,36.33929838888889
GS__1515,z,0.0102437985328942,"(1640, 2448)",327.6,59.5206885,36.339333805555555
GS__1516,٥r,0.0098260269250306,"(2997, 1451)",89.73,59.520576194444445,36.33935319444445
GS__1516,<,0.1105048538052821,"(2981, 2218)",88.28999999999999,59.520576194444445,36.33935319444445
GS__1517,,0.0,"(1637, 2457)",327.33,59.520451888888886,36.339374694444444
GS__1518,,0.0,"(3661, 2246)",149.49,59.52030161111111,36.33939938888889
GS__1518,,0.0,"(2501, 2364)",45.09,59.52030161111111,36.33939938888889
GS__1519,,0.0,"(1624, 2438)",326.16,59.52019138888889,36.339426305555556
GS__1519,,0.0,"(2460, 2361)",41.4,59.52019138888889,36.339426305555556
GS__1521,,0.0,"(1633, 2457)",326.97,59.51996719444444,36.33949761111111
GS__1521,,0.0,"(2456, 2374)",41.04,59.51996719444444,36.33949761111111
GS__1522,٢٧؟٢٨,0.2652341972860536,"(3746, 1566)",157.14,59.51983888888889,36.33952380555556
GS__1522,7,0.1607803442545909,"(1624, 2445)",326.16,59.51983888888889,36.33952380555556
GS__1522,,0.0,"(3670, 2256)",150.29999999999998,59.51983888888889,36.33952380555556
GS__1522,-,0.366319627040923,"(2452, 2367)",40.68,59.51983888888889,36.33952380555556
GS__1523,7,0.4860334862017659,"(3642, 2264)",147.78,59.519711,36.33955138888889
GS__1523,,0.0,"(2449, 2355)",40.41,59.519711,36.33955138888889
GS__1525,٤٤,0.5581308178699596,"(3856, 1446)",167.04000000000002,59.519470999999996,36.339591694444444
GS__1525,٤٤ ( ) ٤٤,0.1312006943412776,"(4040, 1469)",183.6,59.519470999999996,36.339591694444444
GS__1525,,0.0,"(2469, 2365)",42.21,59.519470999999996,36.339591694444444
GS__1526,7,0.4366634671052374,"(1649, 2519)",328.41,59.5193444,36.33961188888889
GS__1526,,0.0,"(2551, 2395)",49.59,59.5193444,36.33961188888889
GS__1527,8٩,0.2039066526076992,"(3188, 2009)",106.92,59.519235099999996,36.33962680555556
GS__1527,,0.0,"(1656, 2497)",329.04,59.519235099999996,36.33962680555556
GS__1527,7,0.6162822194506958,"(3065, 2135)",95.85,59.519235099999996,36.33962680555556
GS__1527,,0.0,"(2527, 2385)",47.43,59.519235099999996,36.33962680555556
GS__1530,5,0.1071660162470147,"(1633, 2465)",326.97,59.5188574,36.3397165
GS__1530,,0.0,"(2490, 2368)",44.1,59.5188574,36.3397165
GS__1531,1,0.5658954207356146,"(4448, 1583)",220.32,59.5187306,36.33973319444445
GS__1531,اینانرواس,0.2401982516377827,"(4545, 1568)",229.05,59.5187306,36.33973319444445
