file_name,bbox,center_coordinates,detected_text,azimuth,longitude,latitude
GS__1430,"3659,1159,3799,1229","3729,1194",تاپ سپستم مه ت,334.0625,59.51335819444444,36.33806411111112
GS__1431,"984,1328,1187,1437","1085,1382",راری 1 چلال,348.8125,59.51355319444444,36.338033
GS__1431,"4364,1226,4573,1338","4468,1282",,200.25,59.51355319444444,36.338033
GS__1431,"779,1357,893,1482","836,1419",شثیر ،٨٢٩٨,333.25,59.51355319444444,36.338033
GS__1432,"523,1559,646,1638","584,1598",٧٧؟ `,318.5,59.51366180555556,36.33801480555556
GS__1434,"4145,1340,4237,1370","4191,1355",لعانخان راء,181.9375,59.513826305555554,36.33800661111111
GS__1438,"3387,1322,3448,1342","3417,1332",١٨٨٨ ١,136.5625,59.51423211111111,36.337929
GS__1440,"4635,1377,4720,1430","4677,1403",امام,218.3125,59.5144365,36.33787788888889
GS__1440,"4735,1522,4809,1555","4772,1538", ابنانی و,224.25,59.5144365,36.33787788888889
GS__1444,"4633,1406,4700,1437","4666,1421",تکیدان,218.625,59.51480380555556,36.33780838888889
GS__1447,"3546,1305,3676,1358","3611,1331",700(>,145.6875,59.51515561111111,36.33773180555556
GS__1448,"3865,313,4105,416","3985,364",4 7,173.0625,59.51529411111111,36.337703000000005
GS__1448,"4864,1474,4988,1552","4926,1513",٥٣,231.875,59.51529411111111,36.337703000000005
GS__1451,"4662,1365,4901,1457","4781,1411",ومرمهق هکرن,221.8125,59.51569611111111,36.337632500000005
GS__1458,"4434,1328,4561,1403","4497,1365",خغه ٤٢,209.0625,59.5165885,36.33746419444444
GS__1491,"3913,1033,3993,1064","3953,1048",ژل,80.0625,59.52023080555556,36.33721680555556
GS__1493,"4358,1014,4460,1063","4409,1038",مقا,108.5625,59.520277694444445,36.33738080555556
GS__1494,"4582,1036,4683,1090","4632,1063",وشعشلچ,121.5,59.520304,36.33747638888889
GS__1496,"1361,1451,1483,1515","1422,1483",ي ن وا,282.875,59.520361305555554,36.33766338888889
GS__1497,"1314,1447,1562,1513","1438,1480",بدون معامسی دارد لسویر,279.875,59.52038361111111,36.33777011111111
GS__1501,"3458,1230,3674,1321","3566,1275",هچپواچ ملاث أى٣٤,54.875,59.520470805555554,36.33811580555556
GS__1502,"3876,1275,3967,1312","3921,1293",ز$9٤٥,79.0625,59.52049519444444,36.33819311111111
GS__1503,"4694,1338,4858,1429","4776,1383",ا٥٢ أىم٩ ,131.5,59.52051988888888,36.33827780555556
GS__1512,"4854,1668,4933,1688","4893,1678",57,137.8125,59.520764388888885,36.33914738888889
GS__1517,"1624,1558,1736,1594","1680,1576","61""}18771",207.0,59.520451888888886,36.339374694444444
GS__1525,"3835,1423,3877,1470","3856,1446",٤٤,344.0,59.519471,36.33959169444445
GS__1525,"3950,1427,4128,1518","4039,1472",٤٤ ( ١ ٤٤,355.4375,59.519471,36.33959169444445
GS__1531,"4495,1548,4589,1591","4542,1569",ابیاتهرواس,22.875,59.5187306,36.33973319444445
GS__1533,"1805,603,1905,931","1855,767",نا ١ نا ٤,214.9375,59.5184948,36.33977030555556
GS__1534,"699,735,782,1075","740,905",ك } } 9,147.25,59.5183572,36.33979088888889
GS__1534,"1214,1260,1476,1349","1345,1304",زیبایی کل آرا,185.0625,59.5183572,36.33979088888889
GS__1547,"374,812,452,868","413,840",7,124.8125,59.5167296,36.340089194444445
GS__1552,"832,1479,968,1522","900,1500",٥٥٥ ٥٢٠٦٥,163.25,59.516036694444445,36.34020988888889
GS__1552,"882,1547,929,1574","905,1560", ٢,163.5625,59.516036694444445,36.34020988888889
GS__1553,"4225,625,4542,825","4383,725",٤ ٤,16.9375,59.515865,36.34024138888889
GS__1557,"1448,1484,1504,1504","1476,1494",آ,194.25,59.51517680555556,36.34036569444444
GS__1573,"4136,868,4345,917","4240,892",سثن ن>,277.0,59.51541380555555,36.339461
GS__1573,"4383,902,4481,939","4432,920",ثپ,289.0,59.51541380555555,36.339461
GS__1573,"4153,1092,4359,1163","4256,1127",٤ ٤٤٤٤ذ٥,278.0,59.51541380555555,36.339461
GS__1574,"3634,1091,3732,1158","3683,1124",سالن زيبای ٨٨,242.1875,59.5153875,36.33936080555556
GS__1586,"1902,716,2453,1021","2177,868",= 3,419.0625,59.51548230555556,36.3383845
GS__1589,"4437,1372,4783,1597","4610,1484",٨٢,211.125,59.51588330555556,36.338307694444445
GS__1590,"3987,1373,4081,1430","4034,1401",٤7,177.125,59.51602119444444,36.33827880555556
GS__1596,"2198,1330,2265,1361","2231,1345",چ٣ج٤,425.4375,59.5168828,36.33810530555556
GS__1596,"1917,568,2239,810","2078,689",؟٤ ٦,415.875,59.5168828,36.33810530555556
GS__1602,"5238,778,5313,967","5275,872",?,251.6875,59.5177537,36.33794838888889
GS__1603,"5437,1018,5475,1164","5456,1091",ِ,263.0,59.5179105,36.33792238888889
GS__1605,"3867,1311,3958,1348","3912,1329",رنبان دربابی,169.5,59.5182385,36.3378555
GS__1606,"2378,1294,2450,1325","2414,1309",?احارکت,432.875,59.5183602,36.33783488888889
GS__1607,"2420,1295,2494,1315","2457,1305",؟ مارلت,437.5625,59.518448,36.33781730555556
GS__1607,"2207,1303,2292,1334","2249,1318",ر؟&,424.5625,59.518448,36.33781730555556
GS__1607,"3883,1274,3963,1311","3923,1292",٧ر٥,169.1875,59.518448,36.33781730555556
GS__1608,"2373,1189,2487,1227","2430,1208",م9ی مارکت,436.875,59.5185353,36.33779861111111
GS__1608,"2102,1212,2208,1272","2155,1242",0مارکق ,419.6875,59.5185353,36.33779861111111
GS__1608,"4551,1333,4741,1373","4646,1353",زيبايى  خودرو مانتل '؟1٥٨,215.375,59.5185353,36.33779861111111
GS__1608,"4539,1421,4600,1441","4569,1431",انک بن,210.5625,59.5185353,36.33779861111111
GS__1609,"2020,1133,2201,1215","2110,1174",فساركت `385,418.875,59.5186567,36.33776830555556
GS__1609,"5237,1461,5370,1496","5303,1478",زیبایی   خودره مانت,258.4375,59.5186567,36.33776830555556
GS__1611,"1811,1194,1982,1284","1896,1239",ان اکسپرس ٨٤ ,397.5,59.518941,36.337721388888895
GS__1614,"1793,1212,1953,1284","1873,1248",08> ٤,399.0625,59.5192817,36.33766011111111
GS__1615,"954,1265,1196,1385","1075,1325",گل 084,351.1875,59.5193877,36.33763869444444
GS__1616,"2448,1203,2568,1279","2508,1241",أآل٥,439.75,59.51953019444444,36.33761319444445
GS__1616,"1479,1311,1583,1359","1531,1335",9ما9 اث,378.6875,59.51953019444444,36.33761319444445
GS__1617,"758,1411,816,1442","787,1426",سادان,331.1875,59.5196525,36.3375915
GS__1618,"716,1238,926,1335","821,1286",الأماة,333.3125,59.51979980555556,36.33756638888889
GS__1620,"1099,1432,1191,1470","1145,1451",لیلانجاءملآ,354.5625,59.52003430555556,36.33752011111111
GS__1622,"2987,1007,3078,1048","3032,1027",تزحاشان گه,111.5,59.52027061111111,36.3374785
GS__1623,"3053,807,3174,928","3113,867",( تروهحاشائ ذُنانا,117.5625,59.520385,36.3374565
GS__1624,"3323,677,3471,817","3397,747", كرومخاشافذنان,133.3125,59.52047730555555,36.33744219444445
GS__1625,"3542,467,3757,659","3649,563",١ روعشاذاذان,145.0625,59.52059730555556,36.33743011111111
GS__1627,"745,1483,854,1536","799,1509",بوشا ٢٥ ٢١ ٠ ٠٩ 4٢٢,332.9375,59.520896888888885,36.33737680555556
GS__1631,"3272,1220,3347,1277","3309,1248",اٰٰ ار,127.8125,59.521414694444445,36.33728461111112
GS__1632,"1536,1371,1683,1486","1609,1428",تتراطاذ راو1 بازاز ضزل لا  کاء عإارز پك 4 مه بت - اظنب ور,384.5625,59.5215125,36.337265
GS__1632,"3675,1177,3919,1320","3797,1248",أفه ا ,161.3125,59.5215125,36.337265
GS__1635,"3571,668,3628,706","3599,687",ت,328.9375,59.52014061111111,36.33815611111111
GS__1643,"2081,1231,2135,1257","2108,1244", ٩5,232.75,59.5192311,36.3383265
GS__1644,"1259,1169,1768,1292","1513,1230",رباریت پامچال ف ,197.5625,59.5191255,36.338346694444446
GS__1645,"918,1328,1002,1358","960,1343",36099683|,162.0,59.5189924,36.33837030555556
GS__1648,"3841,1285,3921,1316","3881,1300",بى ٤٤,345.5625,59.5186609,36.3384305
GS__1649,"3688,1314,4020,1508","3854,1411",//1,343.875,59.5185095,36.33845961111111
GS__1651,"3548,1280,3579,1401","3563,1340",,325.6875,59.518205,36.33851219444445
GS__1656,"1623,885,1670,905","1646,895",7,205.875,59.5172546,36.338683
GS__1658,"1060,894,1255,951","1157,922",کروء -ا حعای اه0 ٤,172.3125,59.5170279,36.338716000000005
GS__1671,"1676,1297,1824,1357","1750,1327",ا؟أنللاي ,210.375,59.51506111111111,36.339072
GS__1672,"718,1401,824,1450","771,1425",پالالاي ؤز,149.1875,59.5149115,36.33909480555556
GS__1674,"1461,1393,1531,1435","1496,1414",ف!'نبظ,194.5,59.514567,36.33914911111111
GS__1676,"4206,561,4737,1131","4471,846",م,21.4375,59.51425280555556,36.339203000000005
GS__1679,"1767,1263,1855,1306","1811,1284",٢٦٠٤٥٩٩٤ جعد ز ادم,214.1875,59.51380069444444,36.33927369444445
GS__1679,"1880,1268,1963,1313","1921,1290",بابا,221.0625,59.51380069444444,36.33927369444445
GS__1679,"1546,1388,1590,1415","1568,1401",08,199.0,59.51380069444444,36.33927369444445
GS__1679,"1658,1397,1766,1428","1712,1412",هایپرعلی بابا,208.0,59.51380069444444,36.33927369444445
GS__1680,"879,1360,952,1398","915,1379",هسالر,163.1875,59.513691305555554,36.33929861111111
GS__1680,"1004,1332,1277,1385","1140,1358",ماچوعلی بابا,177.25,59.513691305555554,36.33929861111111
GS__1680,"639,1392,700,1436","669,1414",٢٤٠٤٥٩٩٤ حیدزاد:,147.8125,59.513691305555554,36.33929861111111
GS__1681,"3878,1154,4113,1212","3995,1183",نیک برق وکولر خودروا دلسؤن,47.6875,59.51365111111111,36.339380000000006
GS__1681,"3714,1221,3778,1258","3746,1239",چوِلیلای,32.125,59.51365111111111,36.339380000000006
GS__1681,"3905,1335,3934,1355","3919,1345",٥د,42.9375,59.51365111111111,36.339380000000006
GS__1682,"3545,1147,3661,1276","3603,1211",00 عابربانگ / قهو آ,55.1875,59.51368030555555,36.33951619444445
GS__1682,"4437,1238,4661,1313","4549,1275",جلوبندی امیر مقحع,114.3125,59.51368030555555,36.33951619444445
GS__1682,"1762,1379,1829,1410","1795,1394",؟٥١٧خ,302.1875,59.51368030555555,36.33951619444445
GS__1683,"3747,1225,3964,1294","3855,1259",قنظیوم پغار9 ٧37٤1,74.9375,59.51372238888889,36.33965588888889
GS__1683,"4095,1242,4211,1291","4153,1266",سیم کشی,93.5625,59.51372238888889,36.33965588888889
GS__1683,"4262,1121,4925,1352","4593,1236",س666 دارکق 0915&0030  کامل / /من کارت  ررأيکه 7 عابربانک / قهوه اسپرسو | پروتئینی صه  ث ,121.0625,59.51372238888889,36.33965588888889
GS__1683,"1082,1411,1136,1442","1109,1426",٧5|؟,263.3125,59.51372238888889,36.33965588888889
GS__1684,"3695,1211,3921,1307","3808,1259",سرویس دضسا روغن اتومبيل داى ابرانى وخارج گىربك اتومان ٥٠٥٠٢,71.0,59.51376338888889,36.33979530555556
GS__1684,"3962,1157,4245,1283","4103,1220",گلاستمی گ,89.4375,59.51376338888889,36.33979530555556
GS__1684,"4026,1317,4281,1396","4153,1356",ئ٤؟ر٩آ,92.5625,59.51376338888889,36.33979530555556
GS__1684,"4988,1309,5215,1416","5101,1362",}ا٥إ؟ا الزولا ئقژ٣ر شم مر بخادق,151.8125,59.51376338888889,36.33979530555556
GS__1684,"660,1421,703,1441","681,1431",٥١٧5ت,235.5625,59.51376338888889,36.33979530555556
GS__1685,"2775,1226,2957,1278","2866,1252",ثذسدد ولينو 7,387.125,59.51383669444444,36.33990438888889
GS__1685,"4161,1245,4249,1265","4205,1255",بك آءمان,110.8125,59.51383669444444,36.33990438888889
GS__1685,"4247,1214,4692,1335","4469,1274",ترولر اتو سرویس د تعويض روغق اتومیيل شاى اثیواتی وخارجی اترنر را,127.3125,59.51383669444444,36.33990438888889
GS__1686,"3635,1183,3740,1251","3687,1217",هتین,147.4375,59.51396288888889,36.3398915
GS__1686,"1155,1222,1383,1388","1269,1305",خلمق غغلفنا ن٢ا اا_ !١٧ إ؛ر ٢،ا٠ 233,356.3125,59.51396288888889,36.3398915
GS__1686,"1261,1468,1326,1506","1293,1487",ثارژکر,357.8125,59.51396288888889,36.3398915
GS__1686,"4152,1184,4257,1246","4204,1215",كشاءانا,179.75,59.51396288888889,36.3398915
