file_name,detected_text,confidence,center_coordinates,azimuth,longitude,latitude,parcel_name
GS__1430,تاپ سپستم,0.690097221927202,"(3729, 1192)",155.61,59.51335819444444,36.33806411111112,['11-04-028-0031-002']
GS__1431,عوچر,0.159355342388153,"(827, 1392)",254.43,59.51355319444444,36.338033,['11-04-076-0001-004']
GS__1431, چلال,0.4630646454271901,"(1023, 1397)",272.07,59.51355319444444,36.338033,['11-04-075-0006']
GS__1431,57,0.1409387582721599,"(4310, 1237)",207.9,59.51355319444444,36.338033,['11-04-020-0010']
GS__1431,I,0.6170683853929972,"(4462, 1278)",221.58,59.51355319444444,36.338033,['11-04-020-0017']
GS__1431,'67|,0.1396790593862533,"(1106, 1378)",279.54,59.51355319444444,36.338033,['11-04-085-0011-002']
GS__1431,=,0.2444295276262673,"(2545, 2383)",49.05,59.51355319444444,36.338033,['11-04-051-0025-001']
GS__1432,٧؛٧ `,0.5353219001530544,"(573, 1601)",231.57,59.51366180555556,36.33801480555556,['11-04-019-0019-002']
GS__1432,/,0.1403966356341266,"(3698, 2236)",152.82,59.51366180555556,36.33801480555556,['11-04-028-0013-001']
GS__1434,٩١٥١٢,0.872328248274027,"(5475, 1933)",312.75,59.513826305555554,36.33800661111111,['11-04-084-0011-002']
GS__1434,=,0.1188267869491852,"(2474, 2353)",42.66,59.513826305555554,36.33800661111111,['11-04-040-0001-001']
GS__1437,٧آب٢٤٢,0.5295299721465839,"(4990, 1804)",269.1,59.5141245,36.33794888888889,['11-04-075-0011']
GS__1438,١٨٨٨ ١,0.1076595314306079,"(3417, 1332)",127.53,59.51423211111111,36.337929,['11-04-032-0020']
GS__1438,7,0.238807069638768,"(3653, 2254)",148.77,59.51423211111111,36.337929,['11-04-032-0029-002']
GS__1440,امام,0.3963719015398431,"(4675, 1403)",240.75,59.5144365,36.33787788888889,['11-04-075-0013']
GS__1440,پردبنانی ر ٣ِ -,0.1728366594531585,"(4765, 1538)",248.85,59.5144365,36.33787788888889,['11-04-085-0011-002']
GS__1440,ژاسام زُسان ',0.4606076474848129,"(4753, 1560)",247.77,59.5144365,36.33787788888889,['11-04-075-0013']
GS__1441,<,0.2492856724892966,"(2956, 2216)",86.03999999999999,59.5145245,36.33786088888889,['11-04-052-0015']
GS__1443,اخان خراحان ر,0.1744728980414497,"(3473, 1104)",132.57000000000002,59.5147065,36.33783230555556,['11-04-065-0004']
GS__1444,٥؛٨,0.1359205125646216,"(5467, 1538)",312.03000000000003,59.51480380555556,36.33780838888889,['11-04-077-0014']
GS__1446,f,0.5794845310270489,"(4186, 1572)",196.74,59.51504369444445,36.33774738888889,['11-04-020-0015-001']
GS__1447,/,0.2426073085770221,"(3577, 2241)",141.93,59.51515561111111,36.33773180555556,['11-04-032-0020']
GS__1447,=,0.1630666996495131,"(2465, 2361)",41.85,59.51515561111111,36.33773180555556,['11-04-064-0010-001']
GS__1448,چ,0.3765697169137105,"(4029, 373)",182.61,59.51529411111111,36.337703000000005,['11-04-075-0011']
GS__1449,7,0.3827029195192075,"(1635, 2454)",327.15,59.5154025,36.33768480555556,['11-04-074-0013-001']
GS__1451,7,0.7268395205983893,"(1644, 2463)",327.96,59.51569611111111,36.337632500000005,['11-04-074-0013-001']
GS__1451,٧٢ ٥٧٦٨ ٦٧,0.3027025260457449,"(4912, 1841)",262.08,59.51569611111111,36.337632500000005,['11-04-074-0010']
GS__1453,7,0.7589506423782986,"(1637, 2463)",327.33,59.515929,36.33760161111111,['11-04-073-0031']
GS__1454,7,0.2774196919909286,"(1635, 2465)",327.15,59.51607338888889,36.33757369444445,['11-04-073-0031']
GS__1456,7,0.4193459966760571,"(1646, 2477)",328.14,59.51635061111111,36.337518,['11-04-081-0024-001']
GS__1457,7,0.743891978928346,"(1642, 2486)",327.78,59.516492694444445,36.33748980555556,['11-04-081-0024-001']
GS__1462,7,0.4625505547028865,"(1642, 2495)",327.78,59.5170875,36.337392388888894,['11-04-081-0011-001']
GS__1463,7,0.1602387030458993,"(1644, 2475)",327.96,59.5172098,36.337372388888895,['11-04-081-0011-001']
GS__1463,7,0.3847723795115634,"(3660, 2225)",149.4,59.5172098,36.337372388888895,['11-04-064-0041-002']
GS__1463,=,0.1721242583772095,"(2515, 2372)",46.35,59.5172098,36.337372388888895,['11-04-063-0012-002']
