file_name,detected_text,bbox,center_coordinates,azimuth,longitude,latitude,parcel_name
GS__1430,تاپ سپستم مه ت,"3659,1159,3799,1229","3729,1194",334.0625,59.51335819444444,36.33806411111112,['11-04-066-0001-001']
GS__1431,راری 1 چلال,"984,1328,1187,1437","1085,1382",348.8125,59.51355319444444,36.338033,
GS__1431,,"4364,1226,4573,1338","4468,1282",200.25,59.51355319444444,36.338033,['11-04-075-0007']
GS__1431,شثیر ،٨٢٩٨,"779,1357,893,1482","836,1419",333.25,59.51355319444444,36.338033,['11-04-066-0037']
GS__1432,٧٧؟ `,"523,1559,646,1638","584,1598",318.5,59.51366180555556,36.33801480555556,['11-04-075-0006']
GS__1434,لعانخان راء,"4145,1340,4237,1370","4191,1355",181.9375,59.513826305555554,36.33800661111111,
GS__1438,١٨٨٨ ١,"3387,1322,3448,1342","3417,1332",136.5625,59.51423211111111,36.337929,['11-04-075-0012']
GS__1440,امام,"4635,1377,4720,1430","4677,1403",218.3125,59.5144365,36.33787788888889,['11-04-075-0014']
GS__1440, ابنانی و,"4735,1522,4809,1555","4772,1538",224.25,59.5144365,36.33787788888889,['11-04-075-0013']
GS__1444,تکیدان,"4633,1406,4700,1437","4666,1421",218.625,59.51480380555556,36.33780838888889,
GS__1447,700(>,"3546,1305,3676,1358","3611,1331",145.6875,59.51515561111111,36.33773180555556,['11-04-067-0040']
GS__1448,4 7,"3865,313,4105,416","3985,364",173.0625,59.51529411111111,36.337703000000005,['11-04-074-0002']
GS__1448,٥٣,"4864,1474,4988,1552","4926,1513",231.875,59.51529411111111,36.337703000000005,
GS__1451,ومرمهق هکرن,"4662,1365,4901,1457","4781,1411",221.8125,59.51569611111111,36.337632500000005,['11-04-067-0034']
GS__1458,خغه ٤٢,"4434,1328,4561,1403","4497,1365",209.0625,59.5165885,36.33746419444444,['11-04-067-0022-001']
GS__1491,ژل,"3913,1033,3993,1064","3953,1048",80.0625,59.52023080555556,36.33721680555556,
GS__1493,مقا,"4358,1014,4460,1063","4409,1038",108.5625,59.520277694444445,36.33738080555556,
GS__1494,وشعشلچ,"4582,1036,4683,1090","4632,1063",121.5,59.520304,36.33747638888889,['11-04-058-0016']
GS__1496,ي ن وا,"1361,1451,1483,1515","1422,1483",282.875,59.520361305555554,36.33766338888889,['11-04-057-0001']
GS__1497,بدون معامسی دارد لسویر,"1314,1447,1562,1513","1438,1480",279.875,59.52038361111111,36.33777011111111,['11-04-058-0016']
GS__1501,هچپواچ ملاث أى٣٤,"3458,1230,3674,1321","3566,1275",54.875,59.520470805555554,36.33811580555556,
GS__1502,ز$9٤٥,"3876,1275,3967,1312","3921,1293",79.0625,59.52049519444444,36.33819311111111,
GS__1503,ا٥٢ أىم٩ ,"4694,1338,4858,1429","4776,1383",131.5,59.52051988888888,36.33827780555556,['11-04-056-0001-001']
GS__1512,57,"4854,1668,4933,1688","4893,1678",137.8125,59.520764388888885,36.33914738888889,['11-04-047-0002-002']
GS__1517,"61""}18771","1624,1558,1736,1594","1680,1576",207.0,59.520451888888886,36.339374694444444,
GS__1525,٤٤,"3835,1423,3877,1470","3856,1446",344.0,59.519471,36.33959169444445,['11-04-048-0006-001']
GS__1525,٤٤ ( ١ ٤٤,"3950,1427,4128,1518","4039,1472",355.4375,59.519471,36.33959169444445,
GS__1531,ابیاتهرواس,"4495,1548,4589,1591","4542,1569",22.875,59.5187306,36.33973319444445,['11-04-049-0016']
GS__1533,نا ١ نا ٤,"1805,603,1905,931","1855,767",214.9375,59.5184948,36.33977030555556,['11-04-041-0012-003']
GS__1534,ك } } 9,"699,735,782,1075","740,905",147.25,59.5183572,36.33979088888889,
GS__1534,زیبایی کل آرا,"1214,1260,1476,1349","1345,1304",185.0625,59.5183572,36.33979088888889,
GS__1547,7,"374,812,452,868","413,840",124.8125,59.5167296,36.340089194444445,
GS__1552,٥٥٥ ٥٢٠٦٥,"832,1479,968,1522","900,1500",163.25,59.516036694444445,36.34020988888889,
GS__1552, ٢,"882,1547,929,1574","905,1560",163.5625,59.516036694444445,36.34020988888889,['11-04-040-0001-001']
GS__1553,٤ ٤,"4225,625,4542,825","4383,725",16.9375,59.515865,36.34024138888889,['11-04-050-0003']
GS__1557,آ,"1448,1484,1504,1504","1476,1494",194.25,59.51517680555556,36.34036569444444,
GS__1573,سثن ن>,"4136,868,4345,917","4240,892",277.0,59.51541380555555,36.339461,
GS__1573,ثپ,"4383,902,4481,939","4432,920",289.0,59.51541380555555,36.339461,['11-04-053-0002']
GS__1573,٤ ٤٤٤٤ذ٥,"4153,1092,4359,1163","4256,1127",278.0,59.51541380555555,36.339461,
GS__1574,سالن زيبای ٨٨,"3634,1091,3732,1158","3683,1124",242.1875,59.5153875,36.33936080555556,['11-04-052-0023']
GS__1586,= 3,"1902,716,2453,1021","2177,868",419.0625,59.51548230555556,36.3383845,['11-04-067-0004-001']
GS__1589,٨٢,"4437,1372,4783,1597","4610,1484",211.125,59.51588330555556,36.338307694444445,
GS__1590,٤7,"3987,1373,4081,1430","4034,1401",177.125,59.51602119444444,36.33827880555556,['11-04-064-0032-002']
GS__1596,چ٣ج٤,"2198,1330,2265,1361","2231,1345",425.4375,59.5168828,36.33810530555556,
GS__1596,؟٤ ٦,"1917,568,2239,810","2078,689",415.875,59.5168828,36.33810530555556,
GS__1602,?,"5238,778,5313,967","5275,872",251.6875,59.5177537,36.33794838888889,['11-04-063-0025']
GS__1603,ِ,"5437,1018,5475,1164","5456,1091",263.0,59.5179105,36.33792238888889,['11-04-068-0015-001']
GS__1605,رنبان دربابی,"3867,1311,3958,1348","3912,1329",169.5,59.5182385,36.3378555,
GS__1606,?احارکت,"2378,1294,2450,1325","2414,1309",432.875,59.5183602,36.33783488888889,
GS__1607,؟ مارلت,"2420,1295,2494,1315","2457,1305",437.5625,59.518448,36.33781730555556,['11-04-068-0020']
GS__1607,ر؟&,"2207,1303,2292,1334","2249,1318",424.5625,59.518448,36.33781730555556,
GS__1607,٧ر٥,"3883,1274,3963,1311","3923,1292",169.1875,59.518448,36.33781730555556,
GS__1608,م9ی مارکت,"2373,1189,2487,1227","2430,1208",436.875,59.5185353,36.33779861111111,
GS__1608,0مارکق ,"2102,1212,2208,1272","2155,1242",419.6875,59.5185353,36.33779861111111,
GS__1608,زيبايى  خودرو مانتل '؟1٥٨,"4551,1333,4741,1373","4646,1353",215.375,59.5185353,36.33779861111111,['11-04-063-0020']
GS__1608,انک بن,"4539,1421,4600,1441","4569,1431",210.5625,59.5185353,36.33779861111111,
GS__1609,فساركت `385,"2020,1133,2201,1215","2110,1174",418.875,59.5186567,36.33776830555556,
GS__1609,زیبایی   خودره مانت,"5237,1461,5370,1496","5303,1478",258.4375,59.5186567,36.33776830555556,['11-04-062-0001']
GS__1611,ان اکسپرس ٨٤ ,"1811,1194,1982,1284","1896,1239",397.5,59.518941,36.337721388888895,['11-04-062-0012']
GS__1614,08> ٤,"1793,1212,1953,1284","1873,1248",399.0625,59.5192817,36.33766011111111,
GS__1615,گل 084,"954,1265,1196,1385","1075,1325",351.1875,59.5193877,36.33763869444444,
GS__1616,أآل٥,"2448,1203,2568,1279","2508,1241",439.75,59.51953019444444,36.33761319444445,
GS__1616,9ما9 اث,"1479,1311,1583,1359","1531,1335",378.6875,59.51953019444444,36.33761319444445,['11-04-060-0007']
GS__1617,سادان,"758,1411,816,1442","787,1426",331.1875,59.5196525,36.3375915,['11-04-069-0001']
GS__1618,الأماة,"716,1238,926,1335","821,1286",333.3125,59.51979980555556,36.33756638888889,['11-04-058-0017']
GS__1620,لیلانجاءملآ,"1099,1432,1191,1470","1145,1451",354.5625,59.52003430555556,36.33752011111111,
GS__1622,تزحاشان گه,"2987,1007,3078,1048","3032,1027",111.5,59.52027061111111,36.3374785,
GS__1623,( تروهحاشائ ذُنانا,"3053,807,3174,928","3113,867",117.5625,59.520385,36.3374565,
GS__1624, كرومخاشافذنان,"3323,677,3471,817","3397,747",133.3125,59.52047730555555,36.33744219444445,['11-04-057-0001']
GS__1625,١ روعشاذاذان,"3542,467,3757,659","3649,563",145.0625,59.52059730555556,36.33743011111111,['11-04-057-0032-001']
