file_name,bbox,center_coordinates,detected_text
GS__1430.JPG,"3659,1159,3799,1229","3729,1194",تاپ سپستم مه ت
GS__1431.JPG,"984,1328,1187,1437","1085,1382",راری 1 چلال
GS__1431.JPG,"4364,1226,4573,1338","4468,1282",
GS__1431.JPG,"779,1357,893,1482","836,1419",شثیر ،٨٢٩٨
GS__1432.JPG,"523,1559,646,1638","584,1598",٧٧؟ `
GS__1434.JPG,"4145,1340,4237,1370","4191,1355",لعانخان راء
GS__1438.JPG,"3387,1322,3448,1342","3417,1332",١٨٨٨ ١
GS__1440.JPG,"4635,1377,4720,1430","4677,1403",امام
GS__1440.JPG,"4735,1522,4809,1555","4772,1538", ابنانی و
GS__1444.JPG,"4633,1406,4700,1437","4666,1421",تکیدان
GS__1447.JPG,"3546,1305,3676,1358","3611,1331",700(>
GS__1448.JPG,"3865,313,4105,416","3985,364",4 7
GS__1448.JPG,"4864,1474,4988,1552","4926,1513",٥٣
GS__1451.JPG,"4662,1365,4901,1457","4781,1411",ومرمهق هکرن
GS__1458.JPG,"4434,1328,4561,1403","4497,1365",خغه ٤٢
GS__1491.JPG,"3913,1033,3993,1064","3953,1048",ژل
GS__1493.JPG,"4358,1014,4460,1063","4409,1038",مقا
GS__1494.JPG,"4582,1036,4683,1090","4632,1063",وشعشلچ
GS__1496.JPG,"1361,1451,1483,1515","1422,1483",ي ن وا
GS__1497.JPG,"1314,1447,1562,1513","1438,1480",بدون معامسی دارد لسویر
GS__1501.JPG,"3458,1230,3674,1321","3566,1275",هچپواچ ملاث أى٣٤
GS__1502.JPG,"3876,1275,3967,1312","3921,1293",ز$9٤٥
GS__1503.JPG,"4694,1338,4858,1429","4776,1383",ا٥٢ أىم٩ 
GS__1512.JPG,"4854,1668,4933,1688","4893,1678",57
GS__1517.JPG,"1624,1558,1736,1594","1680,1576","61""}18771"
GS__1525.JPG,"3835,1423,3877,1470","3856,1446",٤٤
GS__1525.JPG,"3950,1427,4128,1518","4039,1472",٤٤ ( ١ ٤٤
GS__1531.JPG,"4495,1548,4589,1591","4542,1569",ابیاتهرواس
GS__1533.JPG,"1805,603,1905,931","1855,767",نا ١ نا ٤
GS__1534.JPG,"699,735,782,1075","740,905",ك } } 9
GS__1534.JPG,"1214,1260,1476,1349","1345,1304",زیبایی کل آرا
GS__1547.JPG,"374,812,452,868","413,840",7
GS__1552.JPG,"832,1479,968,1522","900,1500",٥٥٥ ٥٢٠٦٥
GS__1552.JPG,"882,1547,929,1574","905,1560", ٢
GS__1553.JPG,"4225,625,4542,825","4383,725",٤ ٤
GS__1557.JPG,"1448,1484,1504,1504","1476,1494",آ
GS__1573.JPG,"4136,868,4345,917","4240,892",سثن ن>
GS__1573.JPG,"4383,902,4481,939","4432,920",ثپ
GS__1573.JPG,"4153,1092,4359,1163","4256,1127",٤ ٤٤٤٤ذ٥
GS__1574.JPG,"3634,1091,3732,1158","3683,1124",سالن زيبای ٨٨
GS__1586.JPG,"1902,716,2453,1021","2177,868",= 3
GS__1589.JPG,"4437,1372,4783,1597","4610,1484",٨٢
GS__1590.JPG,"3987,1373,4081,1430","4034,1401",٤7
GS__1596.JPG,"2198,1330,2265,1361","2231,1345",چ٣ج٤
GS__1596.JPG,"1917,568,2239,810","2078,689",؟٤ ٦
GS__1602.JPG,"5238,778,5313,967","5275,872",?
GS__1603.JPG,"5437,1018,5475,1164","5456,1091",ِ
GS__1605.JPG,"3867,1311,3958,1348","3912,1329",رنبان دربابی
GS__1606.JPG,"2378,1294,2450,1325","2414,1309",?احارکت
GS__1607.JPG,"2420,1295,2494,1315","2457,1305",؟ مارلت
GS__1607.JPG,"2207,1303,2292,1334","2249,1318",ر؟&
GS__1607.JPG,"3883,1274,3963,1311","3923,1292",٧ر٥
GS__1608.JPG,"2373,1189,2487,1227","2430,1208",م9ی مارکت
GS__1608.JPG,"2102,1212,2208,1272","2155,1242",0مارکق 
GS__1608.JPG,"4551,1333,4741,1373","4646,1353",زيبايى  خودرو مانتل '؟1٥٨
GS__1608.JPG,"4539,1421,4600,1441","4569,1431",انک بن
GS__1609.JPG,"2020,1133,2201,1215","2110,1174",فساركت `385
GS__1609.JPG,"5237,1461,5370,1496","5303,1478",زیبایی   خودره مانت
GS__1611.JPG,"1811,1194,1982,1284","1896,1239",ان اکسپرس ٨٤ 
GS__1614.JPG,"1793,1212,1953,1284","1873,1248",08> ٤
GS__1615.JPG,"954,1265,1196,1385","1075,1325",گل 084
GS__1616.JPG,"2448,1203,2568,1279","2508,1241",أآل٥
GS__1616.JPG,"1479,1311,1583,1359","1531,1335",9ما9 اث
GS__1617.JPG,"758,1411,816,1442","787,1426",سادان
GS__1618.JPG,"716,1238,926,1335","821,1286",الأماة
GS__1620.JPG,"1099,1432,1191,1470","1145,1451",لیلانجاءملآ
GS__1622.JPG,"2987,1007,3078,1048","3032,1027",تزحاشان گه
