file_name,detected_text,confidence,top_left,bottom_right,center_coordinates
GS__1430.JPG,تاپ سپستم,0.690097221927202,"(3669, 1159)","(3790, 1225)","(3729, 1192)"
GS__1431.JPG,عوچر,0.15935534238815308,"(782, 1358)","(873, 1427)","(827, 1392)"
GS__1431.JPG, چلال,0.46306464542719017,"(985, 1363)","(1062, 1431)","(1023, 1397)"
GS__1431.JPG,7,0.0975635309163545,"(1449, 2421)","(1849, 2578)","(1649, 2499)"
GS__1431.JPG,57,0.1409387582721599,"(4253, 1185)","(4368, 1290)","(4310, 1237)"
GS__1431.JPG,I,0.6170683853929972,"(4365, 1213)","(4560, 1344)","(4462, 1278)"
GS__1431.JPG,'67|,0.13967905938625336,"(1037, 1357)","(1176, 1399)","(1106, 1378)"
GS__1431.JPG,،٨٨٩٨,0.09887129262989146,"(778, 1429)","(894, 1467)","(836, 1448)"
GS__1431.JPG,=,0.24442952762626735,"(2392, 2350)","(2699, 2417)","(2545, 2383)"
GS__1432.JPG,,0.0,"(2423, 2311)","(2661, 2445)","(2542, 2378)"
GS__1432.JPG,٧؛٧ `,0.5353219001530544,"(523, 1586)","(624, 1617)","(573, 1601)"
GS__1432.JPG,/,0.14039663563412663,"(3541, 2164)","(3856, 2309)","(3698, 2236)"
GS__1433.JPG,,0.0,"(2383, 2302)","(2634, 2436)","(2508, 2369)"
GS__1433.JPG,,0.0,"(1460, 2410)","(1829, 2549)","(1644, 2479)"
GS__1433.JPG,قدفلفم,0.00903926699372069,"(4639, 2075)","(4725, 2224)","(4682, 2149)"
GS__1434.JPG,,0.0,"(3494, 2202)","(3661, 2293)","(3577, 2247)"
GS__1434.JPG,٩١٥١٢,0.872328248274027,"(5435, 1912)","(5516, 1955)","(5475, 1933)"
GS__1434.JPG,=,0.11882678694918525,"(2296, 2317)","(2652, 2389)","(2474, 2353)"
GS__1435.JPG,ثل٢٧٥٥یع٥,0.03300151808167659,"(4500, 1786)","(4625, 1827)","(4562, 1806)"
GS__1435.JPG,»,0.025386802471992986,"(1467, 2407)","(1827, 2524)","(1647, 2465)"
GS__1436.JPG,,0.0,"(2347, 2329)","(2679, 2395)","(2513, 2362)"
GS__1437.JPG,٧آب٢٤٢,0.5295299721465839,"(4958, 1794)","(5023, 1814)","(4990, 1804)"
GS__1437.JPG,,0.0,"(1449, 2381)","(1804, 2542)","(1626, 2461)"
GS__1437.JPG,,0.0,"(2357, 2321)","(2617, 2405)","(2487, 2363)"
GS__1438.JPG,١٨٨٨ ١,0.10765953143060797,"(3387, 1322)","(3448, 1342)","(3417, 1332)"
GS__1438.JPG,;2,0.037347101977439644,"(1454, 2358)","(1795, 2519)","(1624, 2438)"
GS__1438.JPG,7,0.23880706963876808,"(3471, 2177)","(3836, 2332)","(3653, 2254)"
GS__1440.JPG,امام,0.3963719015398431,"(4631, 1377)","(4720, 1430)","(4675, 1403)"
GS__1440.JPG,Pقلآ,0.010840997099876404,"(5511, 1727)","(5563, 1742)","(5537, 1734)"
GS__1440.JPG,پردبنانی ر ٣ِ -,0.1728366594531585,"(4720, 1520)","(4810, 1556)","(4765, 1538)"
GS__1440.JPG,ژاسام زُسان ',0.4606076474848129,"(4712, 1538)","(4795, 1583)","(4753, 1560)"
GS__1440.JPG,فا,0.0420227554856285,"(4784, 1688)","(4849, 1753)","(4816, 1720)"
GS__1440.JPG,,0.0,"(2300, 2324)","(2603, 2412)","(2451, 2368)"
GS__1441.JPG,<,0.24928567248929667,"(2912, 2192)","(3001, 2240)","(2956, 2216)"
GS__1442.JPG,,0.0,"(2358, 2313)","(2560, 2421)","(2459, 2367)"
GS__1442.JPG,,0.0,"(1454, 2381)","(1808, 2537)","(1631, 2459)"
GS__1443.JPG,-[.؟١-1,0.03180940190108552,"(3401, 1070)","(3448, 1090)","(3424, 1080)"
GS__1443.JPG,اار زئلی ز٨,0.017347460451223574,"(3445, 1060)","(3512, 1091)","(3478, 1075)"
GS__1443.JPG,ازا حظظ راو8 کی رای نبد,0.01179046936674098,"(3396, 1043)","(3542, 1042)","(3469, 1042)"
GS__1443.JPG,اخان خراحان ر,0.17447289804144978,"(3438, 1097)","(3508, 1112)","(3473, 1104)"
GS__1444.JPG,٥؛٨,0.13592051256462168,"(5434, 1523)","(5501, 1554)","(5467, 1538)"
GS__1446.JPG,تffffة٥آ5,0.022207060713045453,"(3352, 1542)","(3456, 1581)","(3404, 1561)"
GS__1446.JPG,f,0.5794845310270489,"(4148, 1557)","(4225, 1587)","(4186, 1572)"
GS__1447.JPG,5,0.06416121270803021,"(1449, 2367)","(1799, 2528)","(1624, 2447)"
GS__1447.JPG,200(4,0.02345321300615774,"(3549, 1295)","(3672, 1362)","(3610, 1328)"
GS__1447.JPG,/,0.24260730857702217,"(3476, 2170)","(3678, 2313)","(3577, 2241)"
GS__1447.JPG,=,0.16306669964951315,"(2324, 2308)","(2606, 2415)","(2465, 2361)"
GS__1448.JPG,چ,0.37656971691371055,"(3975, 352)","(4084, 394)","(4029, 373)"
GS__1448.JPG,,0.0,"(2393, 2307)","(2633, 2435)","(2513, 2371)"
GS__1448.JPG,٥ac٤,0.025155900046229362,"(4876, 1474)","(4974, 1554)","(4925, 1514)"
GS__1449.JPG,7,0.38270291951920754,"(1445, 2372)","(1826, 2537)","(1635, 2454)"
GS__1449.JPG,,0.0,"(2321, 2347)","(2781, 2349)","(2551, 2348)"
GS__1450.JPG,,0.0,"(1467, 2394)","(1781, 2555)","(1624, 2474)"
GS__1451.JPG,[EMfT,0.040721932326809554,"(3603, 1564)","(3704, 1606)","(3653, 1585)"
GS__1451.JPG,7,0.7268395205983893,"(1455, 2391)","(1834, 2536)","(1644, 2463)"
GS__1451.JPG,0303?9,0.016872369044142323,"(4676, 1367)","(4829, 1455)","(4752, 1411)"
GS__1451.JPG,لاتا .,0.048368929276003815,"(4676, 1409)","(4742, 1448)","(4709, 1428)"
GS__1451.JPG,٧٢ ٥٧٦٨ ٦٧,0.30270252604574494,"(4882, 1817)","(4942, 1866)","(4912, 1841)"
GS__1452.JPG,",2",0.013961661915252771,"(1449, 2367)","(1804, 2528)","(1626, 2447)"
GS__1452.JPG,,0.0,"(3485, 2176)","(3842, 2339)","(3663, 2257)"
GS__1453.JPG,,0.0,"(2379, 2303)","(2624, 2431)","(2501, 2367)"
GS__1453.JPG,7,0.7589506423782986,"(1458, 2385)","(1817, 2542)","(1637, 2463)"
GS__1454.JPG,7,0.27741969199092864,"(1449, 2385)","(1822, 2546)","(1635, 2465)"
GS__1454.JPG,7,0.0803351891659645,"(2360, 2327)","(2634, 2420)","(2497, 2373)"
GS__1455.JPG,,0.0,"(1446, 2395)","(1794, 2545)","(1620, 2470)"
GS__1455.JPG,,0.0,"(2332, 2339)","(2732, 2374)","(2532, 2356)"
GS__1456.JPG,7,0.4193459966760571,"(1459, 2404)","(1834, 2550)","(1646, 2477)"
GS__1457.JPG,7,0.743891978928346,"(1454, 2408)","(1831, 2564)","(1642, 2486)"
GS__1458.JPG,٣٢,0.09977321773566943,"(4457, 1348)","(4497, 1379)","(4477, 1363)"
GS__1458.JPG,غ :,0.09933473444494517,"(4511, 1361)","(4551, 1392)","(4531, 1376)"
GS__1462.JPG,7,0.46255055470288653,"(1458, 2417)","(1826, 2573)","(1642, 2495)"
GS__1462.JPG,,0.0,"(2298, 2377)","(2735, 2394)","(2516, 2385)"
GS__1463.JPG,7,0.16023870304589938,"(1450, 2400)","(1839, 2550)","(1644, 2475)"
GS__1463.JPG,7,0.3847723795115634,"(3481, 2147)","(3839, 2303)","(3660, 2225)"
GS__1463.JPG,=,0.17212425837720957,"(2367, 2312)","(2663, 2432)","(2515, 2372)"
GS__1464.JPG,",",0.038210946391580514,"(1476, 2457)","(1867, 2614)","(1671, 2535)"
GS__1464.JPG,م ٤٩=,0.40726095302558535,"(3115, 1549)","(3191, 1611)","(3153, 1580)"
GS__1464.JPG,ش٥٣ل٩,0.04213663055015761,"(3188, 1564)","(3289, 1637)","(3238, 1600)"
GS__1464.JPG,rfف,0.0013970091272123134,"(35, 1985)","(116, 2015)","(75, 2000)"
GS__1464.JPG,,0.0,"(2462, 2363)","(2741, 2432)","(2601, 2397)"
GS__1465.JPG,7,0.05527755982357352,"(1468, 2422)","(1839, 2572)","(1653, 2497)"
GS__1465.JPG,/,0.5554840768327409,"(3550, 2150)","(3740, 2272)","(3645, 2211)"
GS__1465.JPG,,0.0,"(2299, 2383)","(2747, 2397)","(2523, 2390)"
GS__1466.JPG,",",0.07732007570691568,"(1457, 2384)","(1827, 2556)","(1642, 2470)"
GS__1466.JPG,/,0.6722659774813025,"(3500, 2156)","(3833, 2306)","(3666, 2231)"
GS__1466.JPG,,0.0,"(2331, 2339)","(2717, 2404)","(2524, 2371)"
GS__1467.JPG,,0.0,"(2392, 2315)","(2652, 2454)","(2522, 2384)"
GS__1467.JPG,/,0.5354292060446006,"(3556, 2164)","(3720, 2279)","(3638, 2221)"
GS__1468.JPG,",",0.4936502809932932,"(1450, 2395)","(1803, 2541)","(1626, 2468)"
GS__1469.JPG,ILU=,0.020791741088032722,"(5151, 1664)","(5203, 1679)","(5177, 1671)"
